fips,county,year,population,x18,x65_and_over,african_american,american_indian_alaskan_native,asian,native_hawaiian_other_pacific_islander,hispanic,percent_not_proficient_in_english,female,rural,diabetes,physical_inactivity.x,percent_high_housing_costs,percent_free_lunch,percent_drive_alone,percent_diabetic,percent_illiterate,zip_codes_with_healthy_foods,number_zip_codes.x,percent_healthy_foods,percent_park_access,percent_food_insecure,number_limited_access.x,percent_limited_access.x,percent_asian,number_food_insecure,percent_frequent_physical_distress,percent_frequent_mental_distress,percent_insufficient_sleep,segregation_index,segregation_index_2,percent_free_or_reduced_lunch,percent_limited_access_to_healthy_foods,deaths,ypll_rate,percent_fair_poor,physically_unhealthy_days,mentally_unhealthy_days,percent_lbw,percent_smokers,percent_obese,percent_excessive_drinking,sti_cases,rates_per_100_000,teen_births,percent_uninsured,pcp_no,no_of_medicare_enrollees,acsc_rate,percent_hb_a1c,mammography_rate,afgr,psed,percent_unemployed,percent_children_in_poverty,percent_no_social_emotional_support,percent_single_parent_households,violent_crimes,pm_days,ozone_days,zip_codes_with_healthy_food,number_zip_codes.y,percent_healthy_food,rec_facs,rec_fac_rate,physical_inactivity.y,motor_vehicle_deaths,number_pcp,number_medicare_enrollees,number_diabetics,number_households,number_limited_access.y,percent_limited_access.y,number_fast_foods,percent_fast_foods,live_births,percent_physically_inactive,dentist_ratio,percent_mammography,percent_some_college,annual_violent_crimes,average_daily_pm25,percent_pop_in_viol,number_rec_facilities,rec_facility_rate,food_environment_index,percent_with_access,percent_alcohol_impaired,mhp_ratio,graduation_rate,injury_deaths,number_household_with_severe_problems,percent_severe_housing_problems,number_deaths,number_live_births,number_primary_care_physicians,number_mental_health_providers,preventable_hosp_rate,percent_receiving_hb_a1c,number_associations,number_violent_crimes,number_injury_deaths,presence_of_violation
51670,Hopewell City,2011,23123,26.2,14.6,38.6,0.4,1,0.1,4.8,2,53.2,0,11.8,28.5,33.1,50.7,83.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,354,10389.9,20.6,4.8,3.1,10.24,34.1,30.9,16.3,201,868.6,446,14.2,15,6766,74.6653,82.9545,59.6491,55,37.6,10.3,27,NA,56.2,598,2,0,1,1,100,2,9,NA,NA,NA,NA,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51678,Lexington City,2011,6901,9.8,19.1,9.4,0.3,2.5,0,2.2,3.1,43.8,0,9.7,24.6,30.4,19.8,56.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,7365.6,NA,NA,NA,NA,NA,26.7,NA,9,128.5,NA,22,2,NA,NA,NA,NA,NA,70.4,10.1,13.3,NA,18.7,12,0,0,1,1,100,2,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51680,Lynchburg City,2011,73933,20.2,16.7,28.1,0.3,2,0.1,2.1,2.4,53.9,3.2,11.3,28.1,32.3,46.7,77.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,803,8279,13.7,3,3,9.09,22.4,29.1,17.9,298,410.5,907,16.3,115,23689,58.3249,84.9237,58.5507,65,64.4,8,24,19.9,39.7,1019,0,0,4,4,100,13,18,NA,NA,NA,NA,524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51683,Manassas City,2011,36514,28.8,9.5,13.6,0.5,4.3,0.1,28.9,19.7,49.4,0,10.4,24.6,41.2,25.4,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,5926.5,11.6,1.9,2.1,6.62,NA,27,NA,145,411.9,467,22.2,53,4886,70.1598,85.8824,52.3256,65,50.3,7.3,13.1,NA,33.8,544,0,9,1,1,100,6,17,NA,NA,NA,NA,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51685,Manassas Park City,2011,12042,30.2,7,12.6,0.4,6.7,0.1,30.3,23.7,49.2,0,8.8,24,56.2,35.8,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,5611.3,NA,NA,NA,5.68,NA,28.3,NA,31,273.9,164,20.1,0,3031,69.2105,80.303,41.3043,65,53.6,6,11.3,NA,27.1,88,0,9,NA,NA,NA,0,0,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51690,Martinsville City,2011,14635,22.1,23.6,41.7,0.1,0.6,0,5.3,3.6,54.5,0,13.2,29,34.8,58,77.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,265,12141.8,NA,2.7,3.7,10.09,NA,30,NA,86,591.3,254,15.1,8,10106,84.783,84.2342,61.3333,80,54.2,20.1,33.1,NA,56,159,0,0,1,1,100,4,27,NA,NA,NA,NA,222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51700,Newport News City,2011,193172,25.6,11,42.2,0.5,2.6,0.1,5.6,3.3,52.7,0,9.9,28.9,39.5,40,78.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2034,8432.4,14.3,3.4,3.8,10.12,23.7,29.7,19.4,2082,1159.2,2662,15.8,162,32036,46.6299,78.8207,71.5385,70,63.8,7.6,19.4,20.7,42,3913,1,0,7,8,87.5,17,9,NA,NA,NA,NA,831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51710,Norfolk City,2011,233333,23.4,9.9,44.5,0.7,3.1,0.2,5,2.7,49.4,0,10.4,25.6,44.7,47.8,68.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3128,11129.2,14.2,3.3,3.4,10.61,24,30.6,18.8,2525,1078,3828,18.6,346,38147,51.1033,72.1585,64.5793,50,58,8.4,27.9,22.1,49.2,5855,4,1,11,16,68.8,21,9,NA,NA,NA,NA,959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51720,Norton City,2011,3713,20,16.8,8.5,0.1,1.6,0.1,1.2,0.5,55,8.7,10.3,25,27.8,40.5,87.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,8825.1,NA,NA,NA,9.73,NA,26.6,NA,9,243.1,47,11,16,1558,178.6813,79.5918,66.6667,75,53.3,6.6,32.2,NA,44.2,36,0,0,1,1,100,1,27,NA,NA,NA,NA,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51730,Petersburg City,2011,32986,24.3,16.5,77.8,0.2,1.2,0,3.2,1.3,54.3,2.7,14.8,31.8,37,51.3,76.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,717,14974.5,15.1,3.5,3.2,13.37,26.6,34.3,12,475,1443.1,781,13.1,25,8571,69.9688,79.8479,62.1429,50,36,13.2,30.7,NA,64.5,1586,2,0,2,2,100,2,6,NA,NA,NA,NA,263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51735,Poquoson City,2011,11794,23.9,16.8,3.2,0.3,2.1,0,1.8,2.9,49.7,4.8,10.1,22.8,29.3,6.9,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,6455,NA,NA,NA,4.8,NA,26.4,NA,22,186,45,13.4,10,3128,41.7299,89.4737,72,95,76,5.1,5.4,NA,18.6,47,3,1,1,1,100,1,8,NA,NA,NA,NA,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51740,Portsmouth City,2011,99321,24.1,12.7,53,0.5,0.9,0.1,2.6,1.4,51.5,0,12.5,29.3,44.7,46.9,77.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1477,10914.7,17,3.7,3.6,11.22,22.6,32.5,12.6,1114,1107.6,1688,13.6,70,21658,52.568600000000004,82.2294,58.104,55,56.8,8.3,28.8,20.6,54.4,2409,3,1,4,7,57.1,4,4,NA,NA,NA,NA,619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51750,Radford City,2011,16184,12,10.6,8.5,0.2,2.8,0,1.8,3.2,54.3,3.1,7.7,21.9,47.6,32.3,76.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126,7019.6,17,6.3,4.1,7.42,NA,25.7,12.6,61,378.3,86,24.9,22,4522,69.7278,87.5,75.7143,85,73.9,8.8,16.6,NA,24.9,186,0,0,1,1,100,3,19,NA,NA,NA,NA,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51760,Richmond City,2011,204451,20.2,14.7,51.8,0.5,1.6,0.3,5.4,3.6,53.5,0,12.7,26.7,45.6,60.8,70.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3290,13035,15.4,3,3.3,12.4,21.5,29.4,19.4,2468,1221.8,3233,17.9,327,32162,53.16,79.9514,57.8704,50,61.5,9.5,35.6,24.5,58.4,5539,2,5,7,9,77.8,11,5,NA,NA,NA,NA,823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51770,Roanoke City,2011,94482,21.1,17.3,26.9,0.2,1.3,0.1,3.1,2.7,53.1,0,11.7,26.4,36.4,50.8,81.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1574,11743.7,16.8,3.8,3.7,9.49,26.7,30.8,13.8,789,848.7,1338,14,122,24646,67.0398,82.1705,59.7668,50,55.3,8.6,27.3,23.3,52.7,2604,1,1,6,7,85.7,14,15,NA,NA,NA,NA,516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51775,Salem City,2011,25462,19.9,17.2,7,0.1,1.2,0,1.5,2,52.3,0,9.9,22.7,28.7,17.2,81.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,317,7161.1,14.6,2.3,4,7.39,26.2,26.7,13.2,65,255.4,160,13,39,11410,64.5719,85.5372,64.2487,75,63.7,6.3,11.4,19.3,30.1,94,0,1,1,1,100,3,12,NA,NA,NA,NA,242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51790,Staunton City,2011,23886,19.3,21.5,11.6,0.2,0.6,0,1.8,1.1,54.7,0.7,11.2,25.6,34.3,38,79.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,334,7906.1,NA,NA,NA,7.39,NA,26.5,NA,113,471.5,247,15.2,18,11192,52.6288,87.2852,64.7799,70,52.6,7.3,21,NA,37.7,187,0,0,1,1,100,6,25,NA,NA,NA,NA,291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51800,Suffolk City,2011,83659,25.9,11.6,41.5,0.3,1.5,0,2.8,1.5,52,28.1,10.9,25.2,36.7,32.4,84.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,972,8264.8,13.3,2.7,2.8,10.28,19.4,30.8,15.3,577,701.1,812,15.7,96,14697,63.5697,79.8817,68.8372,70,61.3,6.6,14.5,16.5,32,1044,1,7,3,7,42.9,4,5,NA,NA,NA,NA,338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51810,Virginia Beach City,2011,433575,24.6,10.6,20.1,0.6,5.7,0.2,6.1,3.8,51.1,1.4,9.5,23.1,39.6,19.5,81.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3597,5958.6,12,3.1,3.2,8,18.5,25.1,17.5,2153,496.4,3513,15.6,379,74852,53.6081,81.0644,67.757,70,70.3,5.9,10.3,17.3,29,3382,3,1,9,12,75,58,13,NA,NA,NA,NA,1785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51820,Waynesboro City,2011,22241,22.9,18.6,11,0.3,0.8,0,5.9,1.5,52.8,2.1,10.6,24.9,37.2,40.5,83.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,281,8906.4,NA,7.4,3,7.42,NA,26.8,NA,82,373.5,279,17.7,20,9755,52.1146,88.3621,71.5116,75,45.8,8.7,22.7,NA,43,274,0,0,1,1,100,1,5,NA,NA,NA,NA,232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51830,Williamsburg City,2011,12729,14.4,16.4,13.1,0.3,4.9,0.1,3.6,1.1,55.7,0,9,22.6,36.4,26.7,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,12057.7,5.4,2.7,NA,10.05,NA,27,NA,85,681,95,21.1,0,14991,52.1614,85.5895,81.6901,NA,78,14.8,22.2,NA,45,83,1,0,NA,NA,NA,1,8,NA,NA,NA,NA,229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51840,Winchester City,2011,26322,22.3,17.5,10.7,0.3,1.9,0,13.2,13.1,50.7,0,9.9,24,34.8,30.9,69.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,317,8172.6,12.5,3.1,3.6,8.33,NA,26.8,10.7,133,513.6,408,21.5,81,7163,79.0772,81.8182,73.3333,75,56.6,8,18.1,NA,42,302,0,1,1,1,100,6,23,NA,NA,NA,NA,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51001,Accomack,2012,38462,22.1,17.3,28.3,0.4,0.3,0.1,9.9,5.3035024305,51.4,80.8,NA,NA,28.356407526,53,75.472606036,12.4,20,6,27,22.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,597,9090.23,22.5,3.7,3.6,9.6,22.1,33.4,15.4,195,510.7,569,20.3,NA,NA,69.346219917,86.258278146,65.550239234,79,44.359716014,7.2,28.7,22.2,40.393754243,246,1,1,NA,NA,NA,3,7.7999064011,30.4,85,10,5319,604,7365,319,0.85,21,36.206896552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51003,Albemarle,2012,94908,21.5,12.9,9.8,0.2,5,0,3.9,4.6792866941,51.8,48.2,NA,NA,31.810779786,16.2,76.902133452,9.3,8.1,5,12,41.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,739,4888.66,6.5,2.2,2.5,6.7,13.8,27.2,15.2,157,166.9,445,11.9,NA,NA,53.672031488,87.048192771,78.08988764,92.9,75.418581747,5.4,10,16.3,22.838771136,430,0,0,NA,NA,NA,12,12.643823492,19.4,84,203,11749,996,20995,9214,11.58,53,46.49122807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51005,Alleghany,2012,16242,21.8,19.4,5.6,0.2,0.4,0,0.8,0.9924446152,51,70.5,NA,NA,21.309592188,31.5,85.718294052,10.4,11.6,1,1,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,325,10178.96,15.1,3.7,4.4,9.8,22.2,25.8,11.7,11,67.9,169,13.6,NA,NA,127.88479467,87.288135593,73.076923077,93,54.238227147,9,20.4,22.2,25.779122542,53,0,0,NA,NA,NA,1,6.1568772319,25.6,23,13,772,118,3305,87,0.5294177326,10,55.555555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51007,Amelia,2012,12886,22.7,15.3,23.3,0.3,0.3,0,1.1,2.8532608696,50.7,100,NA,NA,27.382166905,36.4,75.085570168,11,14.7,1,2,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190,8495.94,20.8,4.1,5,7.2,26.7,32.6,13.2,31,242,118,17.9,NA,NA,53.111338515,92.696629213,61.111111111,84.7,37.595737596,7.7,16.8,NA,29.063696485,47,2,0,NA,NA,NA,1,7.7603600807,26.1,28,1,1380,178,2873,2988,26.67,6,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51009,Amherst,2012,32482,21,16.4,19.2,0.8,0.4,0,1.5,1.2315431857,52.5,63,NA,NA,24.004407367,31.6,79.870741888,12,14.3,3,3,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,481,8366.03,18.4,3.3,3.2,7.4,14.4,29.8,6.6,124,381.1,278,16,NA,NA,69.828265436,86.291739895,59.943181818,87.6,49.490281365,8.5,18.9,NA,34.315789474,123,0,0,NA,NA,NA,1,3.0786281633,26,25,8,4046,569,6650,6684,21.97,17,48.571428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51011,Appomattox,2012,14552,22,16.2,21.7,0.2,0.2,0,0.9,0.6853762355,51.4,100,NA,NA,19.394243641,34.4,84.560250859,12.5,16.3,2,3,66.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194,7438.09,9.1,2.3,2.1,8.7,NA,31.7,NA,29,200,143,16.6,NA,NA,63.364826775,90.517241379,59.701492537,82.3,45.231921636,8.9,21.8,NA,35.64871481,44,0,0,NA,NA,NA,3,20.615722925,27.4,32,2,1618,232,3268,3643,26.86,4,36.363636364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51013,Arlington,2012,217483,16.5,8.6,8.4,0.5,8.6,0.1,17.1,8.6095630792,49.5,0,NA,NA,32.452226527,24,52.814379666,6.2,16.8,9,11,81.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1163,3748.55,8.7,2.6,2.5,6.4,12,19.3,20.6,513,244.3,634,11.8,NA,NA,35.777993609,80.335968379,67.340425532,87.5,87.177203918,4.2,10.4,17.5,24.512001039,974,2,17,NA,NA,NA,35,16.093211883,16.6,64,252,14958,1012,30789,91,0.05,223,51.146788991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51015,Augusta,2012,72020,22.1,14.2,4.7,0.2,0.4,0,2,0.8838693837,49.3,77.8,NA,NA,24.246658784,23.5,84.547974604,9.8,11.8,8,17,47.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,865,6740.03,10.9,2.7,3.2,7.4,17.3,26.6,10.2,121,169.8,572,14.5,NA,NA,46.875025083,85.875706215,75.468164794,87.7,41.260129877,6.7,13.2,18.6,24.241845056,251,0,0,NA,NA,NA,5,6.9425159678,26.1,103,37,6414,885,15696,443,0.69,23,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51017,Bath,2012,4482,18,22,7.7,0.2,0.4,0.1,0.4,0.3046789989,49.6,100,NA,NA,19.209876543,21.4,86.717352415,11.5,14.3,1,4,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,6950.94,NA,NA,NA,NA,NA,27.2,NA,11,242.1,NA,17.9,NA,NA,NA,92.156862745,76.086956522,94.5,23.885918004,6.3,15.7,NA,31.038961039,4,0,0,NA,NA,NA,0,0,27.3,14,3,NA,51,770,766,15.39,1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51019,Bedford,2012,67154,22.4,13.6,6.8,0.2,0.8,0,1.3,1.2460719953,50.2,85.2,NA,NA,24.504604052,21.8,84.416504884,8.9,10,5,11,45.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,790,6860.66,16.4,4,4,8,21.2,25.6,13.1,64,95.8,391,13.6,NA,NA,52.639081171,88.694638695,70.93206951,90.5,59.03335005,6.8,12.9,20.6,21.975582686,282,0,0,NA,NA,NA,5,7.4455728624,29.5,80,41,7181,858,15317,12667,21.04,18,33.962264151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51021,Bland,2012,6791,17.9,16.8,4.6,0.1,0.5,0,0.5,0.45317220540000003,45.6,100,NA,NA,18.449612403,25.1,80.392156863,10.8,13.6,1,4,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,9485.09,NA,NA,NA,9.1,NA,30.4,NA,3,43.4,32,16.1,NA,NA,79.886905304,86.885245902,73.97260274,88,53.705752212,6.7,18,NA,17.213771017,7,0,0,NA,NA,NA,0,0,26,15,2,843,122,1249,702,11.27,1,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51023,Botetourt,2012,32551,21.3,15.7,4.8,0.2,0.8,0,1.1,0.5944157054,50,66.5,NA,NA,21.706146462,12.2,85.157123339,10.6,9.6,3,8,37.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,349,6912.78,12.8,4,3.1,7.4,11.9,28.8,14.2,34,105.4,142,11.7,NA,NA,48.433588088,85.287846482,65.915492958,91,65.182934883,6.3,8.8,13.9,16.160066927,62,0,0,NA,NA,NA,3,9.2163067187,21.8,29,15,4003,469,7172,5755,19.28,17,47.222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51025,Brunswick,2012,17514,18.1,15.6,56.1,0.1,0.3,0,2,1.0150175105,46.2,75.9,NA,NA,30.857706211,61.1,77.66649975,13.3,22.1,1,11,9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,256,9328,16.9,3.7,4.2,11.6,26.1,36,16.5,119,676.9,196,20,NA,NA,85.729917733,85.906040268,66.666666667,78.4,34.838289559,11.7,26.9,24.7,51.138043157,70,1,0,NA,NA,NA,1,5.7097179399,29.4,33,4,2147,298,3383,626,4.01,5,41.666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51027,Buchanan,2012,22860,19.6,14.2,3.4,0.1,0.3,0,0.7,0.7710760795,48.9,100,NA,NA,19.993423216,48,83.884648007,13.6,16.7,6,11,54.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,505,12574.26,34.8,7.5,6.2,8.6,27.1,33.7,9.8,36,153.1,222,18.5,NA,NA,186.71889868,80.64516129,52.96803653,89.2,37.397385223,8.2,34.9,24.6,35.023041475,136,0,0,NA,NA,NA,2,8.7489063867,31.9,71,7,2498,372,4557,0,0,10,71.428571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51029,Buckingham,2012,16080,19.3,13.1,36.5,0.2,0.2,0,1.1,0.218968969,44.8,100,NA,NA,23.934966042,45,80.367454068,11.5,21.6,1,6,16.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,248,9214.84,25.3,4.3,3.7,10,NA,32.8,8.3,47,294.2,158,20.7,NA,NA,56.485144252,91.397849462,67.924528302,83.9,22.031844929,9.4,25.2,20.8,30.796150481,76,0,0,NA,NA,NA,2,12.437810945,28.4,44,7,1234,186,2286,725,5.41,1,14.285714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
